league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
LALIGA,0.12,0.1,20%,90,0.0498457550004508,1058.4897405131483,0.1203347080757275,0.4666666666666667
LALIGA,0.12,0.1,25%,119,-0.07358354577991451,887.7649330899737,0.15349019813520687,0.42016806722689076
LALIGA,0.12,0.1,30%,136,-0.0811197598888609,852.6117895855947,0.20079003187739353,0.4117647058823529
LALIGA,0.12,0.1,35%,138,-0.07085874615390644,866.0533331541399,0.1881903754591343,0.41304347826086957
LALIGA,0.12,0.1,40%,139,-0.07932592357778565,848.9317494645132,0.2042395792373815,0.41007194244604317
LALIGA,0.12,0.15,sin techo,139,-0.08247775372687093,771.2955081340588,0.2993130626217298,0.41007194244604317
LALIGA,0.12,0.15,20%,90,0.04594821743074471,1081.8853592330747,0.1755202531069396,0.4666666666666667
LALIGA,0.12,0.15,25%,119,-0.07805766158605798,827.7538900954722,0.22735819477399036,0.42016806722689076
LALIGA,0.12,0.15,30%,136,-0.08497287719648425,776.7977220208705,0.2943145512126885,0.4117647058823529
LALIGA,0.12,0.15,35%,138,-0.07443972553629162,794.8668854030132,0.2778995369701572,0.41304347826086957
LALIGA,0.12,0.15,40%,139,-0.08247775372687093,771.2955081340588,0.2993130626217298,0.41007194244604317
LALIGA,0.12,0.2,sin techo,139,-0.08750258173845187,691.1003392604644,0.3894869537617894,0.41007194244604317
LALIGA,0.12,0.2,20%,90,0.040213633242780905,1095.7995362870413,0.22760232112769851,0.4666666666666667
LALIGA,0.12,0.2,25%,119,-0.08169708173922453,769.9284814265541,0.295332378339121,0.42016806722689076
LALIGA,0.12,0.2,30%,136,-0.08903026806690996,702.5575116284784,0.3793657704743415,0.4117647058823529
LALIGA,0.12,0.2,35%,138,-0.07985387452112361,719.5508987353052,0.3643539350878972,0.41304347826086957
LALIGA,0.12,0.2,40%,139,-0.08750258173845187,691.1003392604644,0.3894869537617894,0.41007194244604317
LALIGA,0.12,0.25,sin techo,139,-0.09810311922382675,604.3156073064239,0.47573376504594755,0.41007194244604317
LALIGA,0.12,0.25,20%,90,0.03050222252372832,1088.8115473200146,0.2749465979644577,0.4666666666666667
LALIGA,0.12,0.25,25%,119,-0.08745906733578436,709.6996209587048,0.3642015368627465,0.42016806722689076
LALIGA,0.12,0.25,30%,136,-0.09734412166413735,625.8880760565277,0.4570188471561202,0.4117647058823529
LALIGA,0.12,0.25,35%,138,-0.09069570644915807,635.7363425450385,0.4484751101909788,0.41304347826086957
LALIGA,0.12,0.25,40%,139,-0.09810311922382675,604.3156073064239,0.47573376504594755,0.41007194244604317
LALIGA,0.15,0.05,sin techo,98,-0.12768691526103493,907.5762368826713,0.12255243464632155,0.37755102040816324
LALIGA,0.15,0.05,20%,49,0.03394270126758597,1010.9040682604664,0.06626248820670029,0.4489795918367347
LALIGA,0.15,0.05,25%,78,-0.13523556801308842,926.9996680115419,0.09810359687781306,0.38461538461538464
LALIGA,0.15,0.05,30%,95,-0.13171555909932986,909.3518209491542,0.11835708194806539,0.37894736842105264
LALIGA,0.15,0.05,35%,97,-0.11652173485074627,916.6370401817743,0.11379242146852572,0.38144329896907214
LALIGA,0.15,0.05,40%,98,-0.12768691526103493,907.5762368826713,0.12255243464632155,0.37755102040816324
LALIGA,0.15,0.1,sin techo,98,-0.13135698870411347,817.3237059247375,0.2335075454610464,0.37755102040816324
LALIGA,0.15,0.1,20%,49,0.02974990174764777,1019.0792816327397,0.1288833074869884,0.4489795918367347
LALIGA,0.15,0.1,25%,78,-0.14104673194800343,854.7110242499604,0.18933581894082208,0.38461538461538464
LALIGA,0.15,0.1,30%,95,-0.1364497770176121,820.8667281189392,0.22769732897432726,0.37894736842105264
LALIGA,0.15,0.1,35%,97,-0.12072924528534498,833.8078063737238,0.21804862933953886,0.38144329896907214
LALIGA,0.15,0.1,40%,98,-0.13135698870411347,817.3237059247375,0.2335075454610464,0.37755102040816324
LALIGA,0.15,0.15,sin techo,98,-0.13485415197259365,730.3600419580728,0.33341213637428424,0.37755102040816324
LALIGA,0.15,0.15,20%,49,0.025506770917050357,1024.4657566785095,0.1880087490505185,0.4489795918367347
