tour,min_edge_threshold,kelly_fraction,max_odds,n_bets,roi,final_bankroll,max_drawdown,win_rate
ATP,0.04,0.1,2.5,4,-0.1286260380638529,997.386943740572,0.00880188011923722,0.5
ATP,0.04,0.1,3.0,6,-0.32463020904318174,991.5155026722247,0.014636888672798403,0.3333333333333333
ATP,0.04,0.1,4.0,8,0.02979089007855786,1000.9016266815247,0.012497901698978534,0.5
ATP,0.04,0.1,6.0,8,0.02979089007855786,1000.9016266815247,0.012497901698978534,0.5
ATP,0.04,0.15,2.5,4,-0.1302763830890937,996.0326822123182,0.013202820178855731,0.5
ATP,0.04,0.15,3.0,6,-0.32601394062913164,987.2435126924611,0.02191049398319398,0.3333333333333333
ATP,0.04,0.15,4.0,8,0.028208965100099907,1001.2785007383387,0.01872223693060287,0.5
ATP,0.04,0.15,6.0,8,0.028208965100099907,1001.2785007383387,0.01872223693060287,0.5
ATP,0.04,0.2,2.5,4,-0.13192968358794416,994.6466040779251,0.01760376023847441,0.5
ATP,0.04,0.2,3.0,6,-0.3273975346279155,982.952053035434,0.02915427770140075,0.3333333333333333
ATP,0.04,0.2,4.0,8,0.026618775643978916,1001.6058803552497,0.024930161750317637,0.5
ATP,0.04,0.2,6.0,8,0.026618775643978916,1001.6058803552497,0.024930161750317637,0.5
ATP,0.04,0.25,2.5,4,-0.13358595464333342,993.2287147887491,0.02200470029809295,0.5
ATP,0.04,0.25,3.0,6,-0.32878098268741063,978.6413922640907,0.03636829314627807,0.3333333333333333
ATP,0.04,0.25,4.0,8,0.02502028205659702,1001.8836192621534,0.031121676158122443,0.5
ATP,0.04,0.25,6.0,8,0.02502028205659702,1001.8836192621534,0.031121676158122443,0.5
ATP,0.05,0.05,2.5,1,1.3399999999999999,1002.6111139572654,0.0,1.0
ATP,0.05,0.05,3.0,2,0.19430264061109173,1000.7418245392627,0.0018644212017805317,0.5
ATP,0.05,0.05,4.0,2,0.19430264061109173,1000.7418245392627,0.0018644212017805317,0.5
ATP,0.05,0.05,6.0,2,0.19430264061109173,1000.7418245392627,0.0018644212017805317,0.5
ATP,0.05,0.1,2.5,1,1.3399999999999999,1005.2222279145309,0.0,1.0
ATP,0.05,0.1,3.0,2,0.19278171371897593,1001.4739126460812,0.0037288424035609247,0.5
ATP,0.05,0.1,4.0,2,0.19278171371897593,1001.4739126460812,0.0037288424035609247,0.5
ATP,0.05,0.1,6.0,2,0.19278171371897593,1001.4739126460812,0.0037288424035609247,0.5
ATP,0.05,0.15,2.5,1,1.3399999999999999,1007.8333418717963,0.0,1.0
ATP,0.05,0.15,3.0,2,0.19126465565613243,1002.1962643204552,0.005593263605341407,0.5
ATP,0.05,0.15,4.0,2,0.19126465565613243,1002.1962643204552,0.005593263605341407,0.5
ATP,0.05,0.15,6.0,2,0.19126465565613243,1002.1962643204552,0.005593263605341407,0.5
ATP,0.05,0.2,2.5,1,1.3399999999999999,1010.4444558290618,0.0,1.0
ATP,0.05,0.2,3.0,2,0.18975145167941943,1002.9088795623848,0.007457684807121975,0.5
ATP,0.05,0.2,4.0,2,0.18975145167941943,1002.9088795623848,0.007457684807121975,0.5
ATP,0.05,0.2,6.0,2,0.18975145167941943,1002.9088795623848,0.007457684807121975,0.5
ATP,0.05,0.25,2.5,1,1.3399999999999999,1013.0555697863272,0.0,1.0
ATP,0.05,0.25,3.0,2,0.1882420871205103,1003.61175837187,0.009322106008902407,0.5
ATP,0.05,0.25,4.0,2,0.1882420871205103,1003.61175837187,0.009322106008902407,0.5
ATP,0.05,0.25,6.0,2,0.1882420871205103,1003.61175837187,0.009322106008902407,0.5
ATP,0.06,0.05,3.0,1,-1.0,998.1355787982195,0.0018644212017804875,0.0
ATP,0.06,0.05,4.0,1,-1.0,998.1355787982195,0.0018644212017804875,0.0
ATP,0.06,0.05,6.0,1,-1.0,998.1355787982195,0.0018644212017804875,0.0
ATP,0.06,0.1,3.0,1,-1.0,996.271157596439,0.003728842403560975,0.0
ATP,0.06,0.1,4.0,1,-1.0,996.271157596439,0.003728842403560975,0.0
ATP,0.06,0.1,6.0,1,-1.0,996.271157596439,0.003728842403560975,0.0
ATP,0.06,0.15,3.0,1,-1.0,994.4067363946585,0.005593263605341463,0.0
ATP,0.06,0.15,4.0,1,-1.0,994.4067363946585,0.005593263605341463,0.0
ATP,0.06,0.15,6.0,1,-1.0,994.4067363946585,0.005593263605341463,0.0
ATP,0.06,0.2,3.0,1,-1.0,992.542315192878,0.00745768480712195,0.0
ATP,0.06,0.2,4.0,1,-1.0,992.542315192878,0.00745768480712195,0.0
ATP,0.06,0.2,6.0,1,-1.0,992.542315192878,0.00745768480712195,0.0
ATP,0.06,0.25,3.0,1,-1.0,990.6778939910976,0.009322106008902438,0.0
ATP,0.06,0.25,4.0,1,-1.0,990.6778939910976,0.009322106008902438,0.0
ATP,0.06,0.25,6.0,1,-1.0,990.6778939910976,0.009322106008902438,0.0
WTA,0.01,0.05,2.5,1472,0.004748896265783141,1013.0983788436095,0.0801594324279861,0.6168478260869565
WTA,0.01,0.05,3.0,1620,-0.0023969014885292087,993.2223282082646,0.08308452717580808,0.591358024691358
WTA,0.01,0.05,4.0,1738,-0.00521156287219204,984.9629789708611,0.08610146930817157,0.5701956271576525
WTA,0.01,0.05,6.0,1796,-0.0043373113095337736,987.3186526835166,0.08887257355851982,0.5595768374164811
WTA,0.01,0.1,2.5,1472,0.004001141792911095,1022.6264930552745,0.15503942018591438,0.6168478260869565
WTA,0.01,0.1,3.0,1620,-0.003047689790014063,982.6616568116731,0.16044448167093195,0.591358024691358
WTA,0.01,0.1,4.0,1738,-0.005871216510080746,966.2138421060769,0.16593071466000558,0.5701956271576525
WTA,0.01,0.1,6.0,1796,-0.005010339174767969,970.7267658960549,0.1710213638500792,0.5595768374164811
WTA,0.01,0.15,2.5,1472,0.0032776108851846554,1028.4678682363578,0.22488069990378812,0.6168478260869565
WTA,0.01,0.15,3.0,1620,-0.0036821206023730005,968.4274492869914,0.23236066444491504,0.591358024691358
WTA,0.01,0.15,4.0,1738,-0.006518070871387603,943.9624225822172,0.2398295646872665,0.5701956271576525
WTA,0.01,0.15,6.0,1796,-0.005669665590276016,950.416800522695,0.24683308226036207,0.5595768374164811
WTA,0.01,0.2,2.5,1472,0.002578917697040633,1030.545026681596,0.28992262236471383,0.6168478260869565
WTA,0.01,0.2,3.0,1620,-0.004298992204207465,950.6704805445792,0.2991106013423848,0.591358024691358
WTA,0.01,0.2,4.0,1738,-0.007150828952538919,918.4567973613466,0.3081323702880581,0.5701956271576525
WTA,0.01,0.2,6.0,1796,-0.006313918572440318,926.6240279117409,0.31668436446599785,0.5595768374164811
WTA,0.01,0.25,2.5,1472,0.00243854663969216,1036.9851066267659,0.35142994471569333,0.6168478260869565
WTA,0.01,0.25,3.0,1620,-0.004371055045315556,936.9566819760171,0.361978553571587,0.591358024691358
WTA,0.01,0.25,4.0,1738,-0.007248551538814921,897.0409266014789,0.37116500926584356,0.5701956271576525
WTA,0.01,0.25,6.0,1796,-0.006429422118660832,906.7607656550302,0.3809407482805784,0.5595768374164811
WTA,0.02,0.05,2.5,526,0.00851566756836905,1011.3552489662347,0.06563032423929616,0.5798479087452472
WTA,0.02,0.05,3.0,606,-0.00660901292076799,990.7491431592157,0.0836917246349198,0.5429042904290429
WTA,0.02,0.05,4.0,688,-0.010950387352243903,984.0127621031714,0.08828776600205723,0.5130813953488372
WTA,0.02,0.05,6.0,732,-0.008436199650727094,987.3991216187213,0.09106478618116118,0.49863387978142076
WTA,0.02,0.1,2.5,526,0.007478359418630057,1020.107311819715,0.12774883501019765,0.5798479087452472
WTA,0.02,0.1,3.0,606,-0.007668895977133532,978.7509635218348,0.16126061109241419,0.5429042904290429
WTA,0.02,0.1,4.0,688,-0.012090040208232605,965.3205902626962,0.1696953400659797,0.5130813953488372
WTA,0.02,0.1,6.0,732,-0.009561194110565215,971.8630048543586,0.1748173109490053,0.49863387978142076
WTA,0.02,0.15,2.5,526,0.0064432387197931335,1026.1758397586489,0.18648194605604976,0.5798479087452472
WTA,0.02,0.15,3.0,606,-0.00873467081387224,964.0973760331333,0.2330714289331833,0.5429042904290429
WTA,0.02,0.15,4.0,688,-0.013241751439921703,944.0784933806433,0.24466825937606657,0.5130813953488372
WTA,0.02,0.15,6.0,732,-0.010696722531063206,953.5269731586283,0.25174389465151026,0.49863387978142076
WTA,0.02,0.2,2.5,526,0.00541162324030916,1029.5009122697813,0.2419561185599021,0.5798479087452472
WTA,0.02,0.2,3.0,606,-0.009804579424585135,946.9019899134943,0.2994746757836381,0.5429042904290429
WTA,0.02,0.2,4.0,688,-0.014403775842991613,920.4617360684763,0.3136317485480839,0.5130813953488372
WTA,0.02,0.2,6.0,732,-0.011840833333242925,932.5505476494177,0.322308391220754,0.49863387978142076
WTA,0.02,0.25,2.5,526,0.00560639635482734,1038.4646041890805,0.29429745463620016,0.5798479087452472
WTA,0.02,0.25,3.0,606,-0.009728391987304429,934.8793554430774,0.3608064692875704,0.5429042904290429
WTA,0.02,0.25,4.0,688,-0.014472263141031245,901.9773460414752,0.3769908528847612,0.5130813953488372
WTA,0.02,0.25,6.0,732,-0.011912126681811767,916.547200042072,0.38695226798728605,0.49863387978142076
WTA,0.03,0.05,2.5,229,0.029863885092198294,1021.6998845890822,0.062443871718569986,0.5633187772925764
WTA,0.03,0.05,3.0,270,0.002570786316053953,1002.0039253267263,0.06880291672267842,0.5185185185185185
WTA,0.03,0.05,4.0,320,-0.005916129342891677,995.0930367923859,0.07333880996468067,0.48125
WTA,0.03,0.05,6.0,348,-0.010509110892763155,991.0514118471856,0.08159474164163191,0.4540229885057471
WTA,0.03,0.1,2.5,229,0.028275125737859372,1041.9638604515274,0.12146379225032217,0.5633187772925764
WTA,0.03,0.1,3.0,270,0.0012736441175201989,1001.9974141678586,0.13334934716809047,0.5185185185185185
WTA,0.03,0.1,4.0,320,-0.007198694566056921,988.0728399191357,0.14195541643115758,0.48125
WTA,0.03,0.1,6.0,348,-0.011810229320222665,979.9628446493382,0.15720599277404876,0.4540229885057471
WTA,0.03,0.15,2.5,229,0.02669984184010079,1060.6830138053394,0.1772179612208266,0.5633187772925764
WTA,0.03,0.15,3.0,270,-1.0510361227069176e-05,999.9751354656125,0.19387013758816682,0.5185185185185185
WTA,0.03,0.15,4.0,320,-0.008471413518884408,978.9796371424235,0.20610061815277836,0.48125
