Date,bet_side,bet_odds,red_flag,won,market
2025-08-30,away,2.53,False,False,EPL
2025-08-30,away,2.16,True,False,EPL
2025-09-20,home,2.78,False,False,EPL
2025-09-21,away,2.87,False,False,EPL
2025-09-21,away,2.14,False,False,EPL
2025-10-04,away,2.55,False,True,EPL
2025-11-03,away,2.75,False,False,EPL
2025-11-09,home,2.29,False,True,EPL
2025-11-22,home,2.12,True,True,EPL
2025-11-23,away,2.51,False,True,EPL
2025-11-29,away,2.38,False,False,EPL
2025-11-29,away,2.64,False,True,EPL
2025-12-06,away,1.91,False,False,EPL
2025-12-14,away,2.26,True,False,EPL
2025-12-20,home,2.87,False,False,EPL
2025-12-20,away,2.81,False,False,EPL
2025-12-28,away,2.86,False,False,EPL
2026-01-01,home,1.55,False,False,EPL
2026-01-04,away,2.61,False,False,EPL
2026-01-04,home,1.83,True,False,EPL
2026-01-07,home,1.7,False,True,EPL
2021-08-13,home,2.7,False,True,LALIGA
2021-08-21,away,2.38,True,False,LALIGA
2021-08-21,away,2.98,False,False,LALIGA
2021-08-27,home,2.69,False,True,LALIGA
2021-08-29,home,2.63,False,True,LALIGA
2021-09-19,home,2.76,False,False,LALIGA
2021-09-19,home,2.06,False,False,LALIGA
2021-09-19,away,1.96,False,True,LALIGA
2021-09-21,home,1.9,False,False,LALIGA
2021-09-21,away,2.76,False,True,LALIGA
2021-09-25,home,1.63,False,True,LALIGA
2021-10-02,home,2.2,False,True,LALIGA
2021-10-03,away,1.69,False,False,LALIGA
2021-10-16,home,2.61,False,False,LALIGA
2021-10-23,home,2.82,False,False,LALIGA
2021-10-24,home,2.73,False,False,LALIGA
2021-10-24,home,1.83,False,True,LALIGA
2021-10-26,away,2.74,False,False,LALIGA
2021-10-27,away,1.85,False,False,LALIGA
2021-10-28,home,2.67,False,False,LALIGA
2021-10-28,away,1.71,False,False,LALIGA
2021-10-31,home,2.68,False,False,LALIGA
2021-11-06,away,2.17,True,False,LALIGA
2021-11-06,home,1.4,False,True,LALIGA
2021-11-27,home,2.04,True,False,LALIGA
2021-11-27,away,2.66,False,True,LALIGA
2021-11-28,away,2.43,True,False,LALIGA
2021-12-12,home,1.78,False,True,LALIGA
2021-12-12,away,2.03,True,False,LALIGA
2021-12-17,home,1.99,True,True,LALIGA
2021-12-18,away,2.92,False,False,LALIGA
2021-12-19,home,2.57,False,True,LALIGA
2022-01-08,home,2.22,False,True,LALIGA
2022-01-08,away,1.8,False,False,LALIGA
2022-01-09,away,2.69,False,False,LALIGA
2022-01-21,away,2.35,False,True,LALIGA
