market,predicted_prob,market_prob,odds,actual
EPL,0.2952347941421621,0.3262872322387384,2.81,0
EPL,0.2815141941528692,0.2768647281921618,3.71,1
EPL,0.2385355620864581,0.2768647281921618,3.54,0
EPL,0.4799502437606727,0.4462705436156764,2.12,0
EPL,0.1156458403633407,0.147983721790603,6.25,1
EPL,0.1572617427308962,0.202861018621285,4.69,0
EPL,0.7270924169057631,0.6491552595881119,1.53,0
EPL,0.2532054785322828,0.3069752756959114,3.18,1
EPL,0.2697833677010208,0.2949551594789028,3.28,0
EPL,0.4770111537666963,0.3980695648251858,2.49,0
EPL,0.5207641901563463,0.6306314678491062,1.47,1
EPL,0.2374805701468538,0.2088629861466057,5.0,0
EPL,0.2417552396967998,0.1605055460042881,6.84,0
EPL,0.7442105217103195,0.8097165991902834,1.19,1
EPL,0.1623414995807538,0.1295546558704453,7.71,0
EPL,0.0934479787089266,0.0607287449392712,17.04,0
EPL,0.5358452255369861,0.6049407985513283,1.77,1
EPL,0.2286622028553928,0.2330035133176169,4.15,0
EPL,0.235492571607621,0.1620556881310547,4.61,0
EPL,0.6027993950749438,0.6372410801431515,1.48,1
EPL,0.2242327484813839,0.2157032859776597,4.95,0
EPL,0.1729678564436721,0.1470556338791888,6.77,0
EPL,0.3185655632682629,0.4145983344580315,2.3,0
EPL,0.268105221715684,0.3001386715708449,3.4,0
EPL,0.413329215016053,0.2852629939711237,3.42,1
EPL,0.7291345362384929,0.7755834829443448,1.3,1
EPL,0.1603210618190616,0.1436265709156194,6.08,0
EPL,0.1105444019424455,0.0807899461400359,10.1,0
EPL,0.2777653134149123,0.2716085131026495,3.61,0
EPL,0.2633469789103376,0.2918778051252352,3.44,1
EPL,0.45888770767475,0.4365136817721152,2.2,0
EPL,0.3615417095581671,0.4385383977203044,2.14,0
EPL,0.2792294190918971,0.2927965948851134,3.44,1
EPL,0.3592288713499357,0.2686650073945821,3.78,0
EPL,0.3222225385902449,0.4282562308574414,2.29,1
EPL,0.2521354786807646,0.3008302971360554,3.33,0
EPL,0.4256419827289904,0.270913472006503,3.51,0
EPL,0.667083752034515,0.5765825202263968,1.65,1
EPL,0.1847008583975439,0.2405986318969408,4.16,0
EPL,0.1482153895679411,0.1828188478766623,5.57,0
EPL,0.6877548376955289,0.7628700986929847,1.3,1
EPL,0.17626597021644,0.1490530808215524,5.98,0
EPL,0.135979192088031,0.0880768204854628,10.56,0
EPL,0.5003684195371668,0.6170407424771389,1.63,0
EPL,0.248970568090871,0.2315734853002089,4.21,1
EPL,0.250661012371962,0.1513857722226521,5.75,0
EPL,0.5169625846239181,0.4677511563848033,2.02,0
EPL,0.2326317274386357,0.271555532456733,3.68,1
EPL,0.2504056879374462,0.2606933111584636,3.91,0
EPL,0.506225752144805,0.4150831024418394,2.43,1
EPL,0.2469110138499926,0.2889664075996285,3.41,0
EPL,0.2468632340052023,0.2959504899585319,3.15,0
EPL,0.300786227088287,0.4033566287056851,2.47,0
EPL,0.2332677020092866,0.273423821139428,3.56,1
EPL,0.4659460709024262,0.3232195501548867,2.98,0
EPL,0.090035148349378,0.0879719000827322,10.31,0
EPL,0.1559122060907726,0.176263117407144,5.61,0
EPL,0.7540526455598493,0.7357649825101238,1.33,1
EPL,0.4842911871016885,0.4888428148106071,2.05,0
EPL,0.2794863257140871,0.2890548818010546,3.6,1
EPL,0.2362224871842244,0.2221023033883382,3.87,0
EPL,0.4443703799207619,0.5184915452358949,1.98,0
EPL,0.2997328822971077,0.2841877857269628,3.43,1
EPL,0.2558967377821303,0.1973206690371422,4.39,0
EPL,0.147056813592612,0.1319639842431063,8.57,0
EPL,0.2079642848191302,0.2082160945413618,5.25,0
EPL,0.6449789015882578,0.6598199212155318,1.39,1
EPL,0.1618920313170777,0.1066269696843135,7.67,0
EPL,0.2168755951909299,0.187935180157873,5.17,0
EPL,0.6212323734919925,0.7054378501578135,1.43,1
EPL,0.6775302181654391,0.576274254078944,1.67,1
EPL,0.1838974785516655,0.2446993691943254,4.22,0
EPL,0.1385723032828953,0.1790263767267307,5.34,0
