market,predicted_prob,odds,actual
EPL,0.1932245408728614,7.15,0
EPL,0.1659265320056241,12.65,0
EPL,0.1082592908984755,7.52,0
EPL,0.1524661309281175,4.9,0
EPL,0.7392745781734069,1.45,1
EPL,0.2302182944332503,3.74,0
EPL,0.2578951128250739,3.75,1
EPL,0.5118865927416758,2.05,0
EPL,0.5697735171553743,1.78,1
EPL,0.2221328840631224,4.01,0
EPL,0.2080935987815031,4.71,0
EPL,0.3497544296720279,2.3,1
EPL,0.2812891298107681,3.22,0
EPL,0.3689564405172039,3.63,0
EPL,0.2085549818281616,3.45,0
EPL,0.2281586547859228,3.3,0
EPL,0.5632863633859155,2.33,1
EPL,0.7578691727818213,1.16,1
EPL,0.1406232480222354,9.0,0
EPL,0.1015075791959433,19.75,0
EPL,0.4494008374697967,2.37,0
EPL,0.3102104494434686,3.05,0
EPL,0.2403887130867346,3.66,1
EPL,0.4207705842781126,2.17,0
EPL,0.260578896989885,3.41,1
EPL,0.3186505187320024,3.71,0
EPL,0.408871157453006,2.27,1
EPL,0.2680907682008476,3.58,0
EPL,0.3230380743461461,3.32,0
EPL,0.6623710781055053,1.24,0
EPL,0.2002767607451202,6.36,1
EPL,0.1373521611493743,14.4,0
EPL,0.7650233121769554,1.13,1
EPL,0.1362741337857758,9.72,0
EPL,0.0987025540372688,24.98,0
EPL,0.2417401411834116,3.89,0
EPL,0.237178354714865,3.84,0
EPL,0.5210815041017233,1.93,1
EPL,0.0616949294967049,16.21,0
EPL,0.1155959646289406,7.42,0
EPL,0.8227091058743544,1.18,1
EPL,0.1649661479497023,6.52,0
EPL,0.2692649820597816,3.92,1
EPL,0.5657688699905161,1.59,0
EPL,0.2621639925557945,5.19,0
EPL,0.2292138560866931,4.78,1
EPL,0.5086221513575123,1.57,0
EPL,0.7550234392722543,1.19,1
EPL,0.1379877373954799,7.91,0
EPL,0.1069888233322656,13.72,0
EPL,0.1288664654563548,8.02,0
EPL,0.1806568559117577,4.81,0
EPL,0.6904766786318874,1.42,1
EPL,0.6106017681116048,1.7,1
EPL,0.2191693383937701,3.91,0
EPL,0.170228893494625,5.21,0
EPL,0.5460665594202176,1.86,0
EPL,0.2357342536178231,3.78,0
EPL,0.2181991869619592,4.28,1
EPL,0.2269551855896261,5.57,0
EPL,0.2636797793829645,3.77,0
EPL,0.5093650350274094,1.69,1
EPL,0.5257306028696462,1.95,1
EPL,0.2543127626071804,3.49,0
EPL,0.2199566345231733,4.25,0
EPL,0.1629297038870298,6.92,0
EPL,0.200519533051049,4.46,1
EPL,0.6365507630619212,1.49,0
EPL,0.5150390903841964,1.69,1
EPL,0.2418189280144964,3.77,0
EPL,0.2431419816013072,5.91,0
EPL,0.2127815838831247,3.87,0
EPL,0.2367283164245488,3.52,1
EPL,0.5504900996923264,2.08,0
EPL,0.198964932038654,3.35,0
EPL,0.1989608164940675,3.6,0
EPL,0.6020742514672784,2.24,1
EPL,0.2100280385003754,7.76,1
EPL,0.1910663947320466,5.82,0
EPL,0.5989055667675779,1.38,0
EPL,0.6178924152321564,1.42,0
EPL,0.2399252424561548,4.56,1
EPL,0.1421823423116888,8.59,0
EPL,0.0492083755596366,16.97,0
EPL,0.0861097998848151,7.96,0
EPL,0.8646818245555483,1.17,1
EPL,0.6822688676454884,1.38,1
EPL,0.2003417861781774,4.97,0
EPL,0.1173893461763341,8.67,0
EPL,0.2026187474964693,6.01,0
EPL,0.2355356053218985,4.57,0
EPL,0.5618456471816322,1.53,1
EPL,0.1241301061177246,5.42,0
EPL,0.1744911020425762,4.25,0
EPL,0.7013787918396991,1.62,1
EPL,0.231207505624077,3.09,0
EPL,0.2508206054466637,3.41,0
EPL,0.5179718889292594,2.4,1
EPL,0.2461407798924411,3.09,1
EPL,0.2388071003934222,3.3,0
EPL,0.5150521197141366,2.46,0
EPL,0.3474830765209796,2.87,0
EPL,0.3101501928254115,3.08,0
EPL,0.3423667306536089,2.78,1
EPL,0.5073225147097224,2.02,1
EPL,0.2592586084422683,3.59,0
EPL,0.2334188768480092,3.83,0
EPL,0.3599431348171146,3.14,0
EPL,0.2741183419391041,3.6,1
EPL,0.3659385232437813,2.29,0
EPL,0.5995346082836617,1.56,0
EPL,0.2382079423971444,4.37,0
EPL,0.1622574493191939,5.98,1
EPL,0.472486504844023,2.15,1
EPL,0.2470827420411325,3.37,0
EPL,0.2804307531148445,3.82,0
EPL,0.7223406261649579,1.32,1
EPL,0.1633210573058373,5.53,0
EPL,0.1143383165292047,10.04,0
EPL,0.4628680605250442,2.11,0
EPL,0.2837673697625412,3.29,1
EPL,0.2533645697124145,4.08,0
EPL,0.5491037954776172,1.72,1
EPL,0.2435310190595064,3.79,0
EPL,0.2073651854628763,5.2,0
EPL,0.5472994584828746,2.05,0
EPL,0.227724726749337,3.74,1
EPL,0.2249758147677883,3.59,0
EPL,0.2395234067802088,3.77,1
EPL,0.2463222711780253,3.54,0
EPL,0.5141543220417658,2.06,0
EPL,0.3810543092841485,2.35,1
EPL,0.2975018131686178,3.18,0
EPL,0.3214438775472337,3.4,0
EPL,0.3368884766492017,2.89,0
EPL,0.2570192560530309,3.51,1
EPL,0.4060922672977674,2.49,0
EPL,0.7831099026819359,1.3,1
EPL,0.1341630657815505,5.82,0
EPL,0.0827270315365136,10.45,0
