league_key,temporada,n_bets,pct_home,pct_draw,pct_away,avg_odds,median_odds,win_rate,flat_roi_per_bet,pct_top5_equipos,top5_equipos,es_temporada_reciente,pct_odds_1.0-1.5,pct_odds_1.5-2.0,pct_odds_2.0-2.5,pct_odds_2.5-3.0
SERIEA,2122,44,0.4772727272727273,0.0,0.5227272727272727,2.3304545454545456,2.33,0.5909090909090909,0.3688636363636364,0.9090909090909091,"Napoli(10), Lazio(9), Torino(7), Fiorentina(7), Bologna(7)",False,0.0,0.22727272727272727,0.38636363636363635,0.38636363636363635
SERIEA,2223,84,0.38095238095238093,0.0,0.6190476190476191,2.3027380952380954,2.31,0.42857142857142855,-0.02654761904761905,0.6785714285714286,"Monza(15), Inter(11), Salernitana(11), Verona(10), Bologna(10)",False,0.011904761904761904,0.2261904761904762,0.40476190476190477,0.35714285714285715
SERIEA,2324,37,0.3783783783783784,0.0,0.6216216216216216,2.481891891891892,2.55,0.35135135135135137,-0.16270270270270268,1.027027027027027,"Napoli(10), Lazio(8), Genoa(7), Bologna(7), Cagliari(6)",True,0.0,0.08108108108108109,0.3783783783783784,0.5405405405405406
SERIEA,2425,50,0.48,0.0,0.52,2.1641999999999997,2.205,0.4,-0.15180000000000002,1.06,"Parma(20), Como(11), Venezia(8), Cagliari(8), Lazio(6)",True,0.0,0.4,0.34,0.26
SERIEA,2526,26,0.3076923076923077,0.0,0.6923076923076923,2.448076923076923,2.525,0.23076923076923078,-0.4573076923076923,1.1153846153846154,"Cremonese(7), Fiorentina(7), Lazio(6), Atalanta(5), Como(4)",True,0.0,0.15384615384615385,0.2692307692307692,0.5769230769230769
BUNDESLIGA,2122,49,0.7959183673469388,0.0,0.20408163265306123,2.420612244897959,2.39,0.3877551020408163,-0.04102040816326529,0.8979591836734694,"FC Koln(11), M'gladbach(10), Ein Frankfurt(8), Mainz(8), Union Berlin(7)",False,0.02040816326530612,0.04081632653061224,0.5510204081632653,0.3877551020408163
BUNDESLIGA,2223,64,0.625,0.0,0.375,2.1134375,2.0999999999999996,0.546875,0.13812500000000003,1.046875,"Schalke 04(26), Leverkusen(12), Freiburg(10), Werder Bremen(10), Hoffenheim(9)",False,0.03125,0.390625,0.4375,0.140625
BUNDESLIGA,2324,41,0.7804878048780488,0.0,0.21951219512195122,2.3143902439024386,2.32,0.34146341463414637,-0.2490243902439024,0.9024390243902439,"Heidenheim(9), Union Berlin(8), Augsburg(8), FC Koln(6), M'gladbach(6)",True,0.0,0.12195121951219512,0.5365853658536586,0.34146341463414637
BUNDESLIGA,2425,35,0.6285714285714286,0.0,0.37142857142857144,2.386,2.42,0.4,-0.07914285714285717,1.0285714285714285,"Hoffenheim(9), St Pauli(9), RB Leipzig(7), Dortmund(6), Heidenheim(5)",True,0.0,0.17142857142857143,0.45714285714285713,0.37142857142857144
BUNDESLIGA,2526,14,0.5714285714285714,0.0,0.42857142857142855,2.527142857142857,2.525,0.21428571428571427,-0.4942857142857143,1.2142857142857142,"Mainz(4), Hoffenheim(4), Hamburg(3), Leverkusen(3), FC Koln(3)",True,0.0,0.0,0.42857142857142855,0.5714285714285714
